2026-07-21 20:35:19 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=- cities=- provinces=- -> total=4
2026-07-21 20:35:19 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.2ms)
2026-07-21 20:35:21 | INFO    | app.main | POST /api/log/frontend -> 200 (4.6ms)
2026-07-21 20:35:22 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=- cities=广州市 provinces=- -> total=3
2026-07-21 20:35:22 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.4ms)
2026-07-21 20:35:24 | INFO    | app.main | POST /api/log/frontend -> 200 (5.2ms)
2026-07-21 20:35:27 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=1128558 cities=广州市 provinces=- -> total=3
2026-07-21 20:35:27 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.6ms)
2026-07-21 20:35:29 | INFO    | app.main | POST /api/log/frontend -> 200 (6.8ms)
2026-07-21 20:35:37 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=1128558 cities=广州市 provinces=- -> total=3
2026-07-21 20:35:37 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.4ms)
2026-07-21 20:35:39 | INFO    | app.main | POST /api/log/frontend -> 200 (4.5ms)
2026-07-21 20:36:52 | INFO    | app.main | GET /api/dbs -> 200 (4.5ms)
2026-07-21 20:36:52 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:36:52 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.4ms)
2026-07-21 20:36:54 | INFO    | app.main | POST /api/log/frontend -> 200 (4.7ms)
2026-07-21 20:38:32 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=0
2026-07-21 20:38:32 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (13.6ms)
2026-07-21 20:38:34 | INFO    | app.main | POST /api/log/frontend -> 200 (5.9ms)
2026-07-21 20:38:35 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:38:35 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.4ms)
2026-07-21 20:38:37 | INFO    | app.main | POST /api/log/frontend -> 200 (7.6ms)
2026-07-21 20:38:42 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:38:42 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (11.4ms)
2026-07-21 20:38:44 | INFO    | app.main | POST /api/log/frontend -> 200 (6.7ms)
2026-07-21 20:50:02 | INFO    | app.main | GET /api/dbs -> 200 (5.4ms)
2026-07-21 20:50:02 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:50:02 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (6.2ms)
2026-07-21 20:50:04 | INFO    | app.main | POST /api/log/frontend -> 200 (10.3ms)
2026-07-21 21:18:17 | INFO    | app.main | GET /api/dbs -> 200 (8.5ms)
2026-07-21 21:18:17 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 21:18:17 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (7.1ms)
2026-07-21 21:18:18 | INFO    | app.main | POST /api/log/frontend -> 200 (6.6ms)
2026-07-21 21:18:32 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 21:18:32 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.2ms)
2026-07-21 21:18:33 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 21:18:33 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.7ms)
2026-07-21 21:18:33 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 21:18:33 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.2ms)
2026-07-21 21:18:34 | INFO    | app.main | POST /api/log/frontend -> 200 (8.2ms)
2026-07-21 21:23:49 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=广州市 provinces=- -> total=3
2026-07-21 21:23:49 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.1ms)
2026-07-21 21:23:50 | INFO    | app.main | POST /api/log/frontend -> 200 (6.9ms)
2026-07-21 21:25:35 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 21:25:35 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.1ms)
2026-07-21 21:25:37 | INFO    | app.main | POST /api/log/frontend -> 200 (5.2ms)
2026-07-21 21:25:39 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州 provinces=- -> total=0
2026-07-21 21:25:39 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.2ms)
2026-07-21 21:25:41 | INFO    | app.main | POST /api/log/frontend -> 200 (7.1ms)
2026-07-21 21:25:46 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州市 provinces=- -> total=0
2026-07-21 21:25:46 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.5ms)
2026-07-21 21:25:47 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州市 provinces=- -> total=0
2026-07-21 21:25:47 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.4ms)
2026-07-21 21:25:47 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州市 provinces=- -> total=0
2026-07-21 21:25:47 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.3ms)
2026-07-21 21:25:47 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州市 provinces=- -> total=0
2026-07-21 21:25:47 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.7ms)
2026-07-21 21:25:48 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=广州市 provinces=- -> total=0
